ano,estado,projecao de populacao
2018,Minas Gerais,21040662
2018,Espírito Santo,3972388
2018,Rio de Janeiro,17159960
2018,São Paulo,45538936
2018,Paraná,11348937
2018,Santa Catarina,7075494
2018,Rio Grande do Sul,11329605
2018,Mato Grosso do Sul,2748023
2018,Mato Grosso,3441998
2018,Goiás,6923655
2018,Distrito Federal,2972209
2019,Rondônia,1777225
2019,Acre,881935
2019,Amazonas,4144597
2019,Roraima,605761
2019,Pará,8602865
2019,Amapá,845731
2019,Tocantins,1572866
2019,Maranhão,7075181
2019,Piauí,3272447
2019,Ceará,9132858
2019,Rio Grande do Norte,3506853
2019,Paraíba,4018127
2019,Pernambuco,9557517
2019,Alagoas,3336911
2019,Sergipe,2298902
2019,Bahia,14872858
2019,Minas Gerais,21168791
2019,Espírito Santo,4018650
2019,Rio de Janeiro,17264943
2019,São Paulo,45919049
2019,Paraná,11433957
2019,Santa Catarina,7164788
2019,Rio Grande do Sul,11377239
2019,Mato Grosso do Sul,2778986
2019,Mato Grosso,3484466
2019,Goiás,7020904
2019,Distrito Federal,3012718
2020,Rondônia,1796460
2020,Acre,894470
2020,Amazonas,4207714
2020,Roraima,631181
2020,Pará,8690745
2020,Amapá,861773
2020,Tocantins,1590248
2020,Maranhão,7114598
2020,Piauí,3280697
2020,Ceará,9187886
2020,Rio Grande do Norte,3534165
2020,Paraíba,4039277
2020,Pernambuco,9617072
2020,Alagoas,3351092
2020,Sergipe,2319032
2020,Bahia,14930424
2020,Minas Gerais,21292666
2020,Espírito Santo,4064052
2020,Rio de Janeiro,17366189
2020,São Paulo,46289333
2020,Paraná,11516840
2020,Santa Catarina,7252502
2020,Rio Grande do Sul,11422973
2020,Mato Grosso do Sul,2809394
2020,Mato Grosso,3526220
2020,Goiás,7116143
2020,Distrito Federal,3052546
2021,Rondônia,1815278
2021,Acre,906876
2021,Amazonas,4269995
2021,Roraima,652713
2021,Pará,8777124
2021,Amapá,877613
2021,Tocantins,1607363
2021,Maranhão,7153262
2021,Piauí,3288504
2021,Ceará,9241366
2021,Rio Grande do Norte,3560903
2021,Paraíba,4059905
2021,Pernambuco,9675249
2021,Alagoas,3364895
2021,Sergipe,2338688
2021,Bahia,14985070
2021,Minas Gerais,21411923
2021,Espírito Santo,4108508
2021,Rio de Janeiro,17463349
2021,São Paulo,46649132
2021,Paraná,11597484
2021,Santa Catarina,7338473
2021,Rio Grande do Sul,11466630
2021,Mato Grosso do Sul,2839188
2021,Mato Grosso,3567234
2021,Goiás,7209247
2021,Distrito Federal,3091667
2022,Rondônia,1833642
2022,Acre,919145
2022,Amazonas,4331430
2022,Roraima,670267
2022,Pará,8861974
2022,Amapá,893253
2022,Tocantins,1624183
2022,Maranhão,7191041
2022,Piauí,3295812
2022,Ceará,9293112
2022,Rio Grande do Norte,3586972
2022,Paraíba,4079917
2022,Pernambuco,9731843
2022,Alagoas,3378277
2022,Sergipe,2357840
2022,Bahia,15036517
2022,Minas Gerais,21526076
2022,Espírito Santo,4151923
2022,Rio de Janeiro,17556065
2022,São Paulo,46997428
2022,Paraná,11675661
2022,Santa Catarina,7422480
2022,Rio Grande do Sul,11507906
2022,Mato Grosso do Sul,2868279
2022,Mato Grosso,3607400
2022,Goiás,7300083
2022,Distrito Federal,3130014
2023,Rondônia,1851491
2023,Acre,931268
2023,Amazonas,4391960
2023,Roraima,683769
2023,Pará,8945219
2023,Amapá,908689
2023,Tocantins,1640666
2023,Maranhão,7227850
2023,Piauí,3302519
2023,Ceará,9342908
2023,Rio Grande do Norte,3612280
2023,Paraíba,4099203
2023,Pernambuco,9786666
2023,Alagoas,3391204
2023,Sergipe,2376447
2023,Bahia,15084600
2023,Minas Gerais,21634690
2023,Espírito Santo,4194227
2023,Rio de Janeiro,17644073
2023,São Paulo,47333288
2023,Paraná,11751111
2023,Santa Catarina,7504322
2023,Rio Grande do Sul,11546505
2023,Mato Grosso do Sul,2896624
2023,Mato Grosso,3646630
2023,Goiás,7388558
2023,Distrito Federal,3167502
2024,Rondônia,1868787
2024,Acre,943235
2024,Amazonas,4451551
2024,Roraima,695116
2024,Pará,9026771
2024,Amapá,923930
2024,Tocantins,1656791
2024,Maranhão,7263617
2024,Piauí,3308547
2024,Ceará,9390560
2024,Rio Grande do Norte,3636783
2024,Paraíba,4117682
2024,Pernambuco,9839619
2024,Alagoas,3403637
2024,Sergipe,2394484
2024,Bahia,15129225
2024,Minas Gerais,21737475
2024,Espírito Santo,4235381
2024,Rio de Janeiro,17727277
2024,São Paulo,47656295
2024,Paraná,11823677
2024,Santa Catarina,7583889
2024,Rio Grande do Sul,11582285
2024,Mato Grosso do Sul,2924238
2024,Mato Grosso,3684919
2024,Goiás,7474621
2024,Distrito Federal,3204070
2025,Rondônia,1885507
2025,Acre,955012
2025,Amazonas,4510151
2025,Roraima,706235
2025,Pará,9106465
2025,Amapá,938973
2025,Tocantins,1672538
2025,Maranhão,7298196
2025,Piauí,3313867
2025,Ceará,9435907
2025,Rio Grande do Norte,3660428
2025,Paraíba,4135286
2025,Pernambuco,9890556
2025,Alagoas,3415514
2025,Sergipe,2411922
2025,Bahia,15170253
2025,Minas Gerais,21834171
2025,Espírito Santo,4275342
2025,Rio de Janeiro,17805632
2025,São Paulo,47966292
2025,Paraná,11893264
2025,Santa Catarina,7661113
2025,Rio Grande do Sul,11615181
2025,Mato Grosso do Sul,2951121
2025,Mato Grosso,3722274
2025,Goiás,7558218
2025,Distrito Federal,3239675
2026,Rondônia,1901627
2026,Acre,966579
2026,Amazonas,4567703
2026,Roraima,717117
2026,Pará,9184171
2026,Amapá,953802
2026,Tocantins,1687892
2026,Maranhão,7331577
2026,Piauí,3318480
2026,Ceará,9478838
2026,Rio Grande do Norte,3683162
2026,Paraíba,4151945
2026,Pernambuco,9939342
2026,Alagoas,3426799
2026,Sergipe,2428742
2026,Bahia,15207525
2026,Minas Gerais,21924590
2026,Espírito Santo,4314082
2026,Rio de Janeiro,17879062
2026,São Paulo,48263115
2026,Paraná,11959803
2026,Santa Catarina,7735919
2026,Rio Grande do Sul,11645142
2026,Mato Grosso do Sul,2977257
2026,Mato Grosso,3758643
2026,Goiás,7639325
2026,Distrito Federal,3274291
2027,Rondônia,1917130
2027,Acre,977945
2027,Amazonas,4624211
2027,Roraima,727762
2027,Pará,9259811
2027,Amapá,968401
2027,Tocantins,1702843
2027,Maranhão,7363722
2027,Piauí,3322378
2027,Ceará,9519244
2027,Rio Grande do Norte,3704935
2027,Paraíba,4167546
2027,Pernambuco,9985921
2027,Alagoas,3437464
2027,Sergipe,2444933
2027,Bahia,15240909
2027,Minas Gerais,22008542
2027,Espírito Santo,4351575
2027,Rio de Janeiro,17947533
2027,São Paulo,48546516
2027,Paraná,12023185
2027,Santa Catarina,7808220
2027,Rio Grande do Sul,11672095
2027,Mato Grosso do Sul,3002639
2027,Mato Grosso,3793963
2027,Goiás,7717928
2027,Distrito Federal,3307883
2028,Rondônia,1932010
2028,Acre,989104
2028,Amazonas,4679714
2028,Roraima,738175
2028,Pará,9333294
2028,Amapá,982762
2028,Tocantins,1717358
2028,Maranhão,7394457
2028,Piauí,3325518
2028,Ceará,9557007
2028,Rio Grande do Norte,3725694
2028,Paraíba,4181999
2028,Pernambuco,10030223
2028,Alagoas,3447480
2028,Sergipe,2460470
2028,Bahia,15270303
2028,Minas Gerais,22085843
2028,Espírito Santo,4387799
2028,Rio de Janeiro,18011046
2028,São Paulo,48816331
2028,Paraná,12083297
2028,Santa Catarina,7877936
2028,Rio Grande do Sul,11695959
2028,Mato Grosso do Sul,3027261
2028,Mato Grosso,3828225
2028,Goiás,7793996
2028,Distrito Federal,3340408
2029,Rondônia,1946272
2029,Acre,1000048
2029,Amazonas,4734251
2029,Roraima,748361
2029,Pará,9404564
2029,Amapá,996900
2029,Tocantins,1731421
2029,Maranhão,7423684
2029,Piauí,3327868
2029,Ceará,9592073
2029,Rio Grande do Norte,3745416
2029,Paraíba,4195340
2029,Pernambuco,10072190
2029,Alagoas,3456820
2029,Sergipe,2475341
2029,Bahia,15295642
2029,Minas Gerais,22156380
2029,Espírito Santo,4422761
2029,Rio de Janeiro,18069615
2029,São Paulo,49072504
2029,Paraná,12140129
2029,Santa Catarina,7945021
2029,Rio Grande do Sul,11716702
2029,Mato Grosso do Sul,3051133
